reference_image,test_image,img_size,response,resptime

08,30,26804,5,17.091181

04,30,46006,5,2.597898

02,10,47183,6,6.11256

05,70,18298,3,2.449488

05,40,30226,4,2.515758

05,20,45730,4,7.235665

01,50,30418,5,1.85514

02,100,1878,0,3.656366

01,30,42040,3,1.999763

01,60,26071,4,4.411535

09,100,2511,0,2.111403

05,90,7623,1,3.961876

07,40,19798,4,3.117232

09,20,43540,5,3.512008

03,40,42141,5,3.494453

03,90,12381,2,3.105858

02,70,10528,2,2.285153

09,10,64889,5,2.438393

01,90,8821,1,3.326391

02,80,7533,2,1.854231

06,40,43737,3,2.320829

02,90,4151,1,2.487831

07,80,8245,1,1.335976

05,50,26175,1,1.036241

04,20,57167,4,2.07195

06,80,19411,1,2.879396

05,30,36281,2,2.030219

05,80,13466,2,2.828449

04,90,11258,2,1.337169

10,10,43294,5,2.208633

03,10,85126,6,2.093606

08,10,51322,6,1.596344

04,10,81772,6,1.248834

04,80,18731,4,2.264142

07,70,11592,3,2.930241

04,100,4048,0,1.473194

08,70,13727,3,5.094924

07,50,17001,3,1.270385

03,20,61290,5,1.868862

09,40,28271,5,1.753077

04,70,24746,4,1.76225

10,80,8359,3,1.703529

08,100,2180,0,1.289

06,100,2903,0,1.026832

09,30,34009,4,1.741673

10,50,15545,5,2.610897

05,10,67123,5,2.582984

08,20,34101,5,1.457748

01,80,15978,3,2.69232

09,80,13392,3,1.576224

05,100,2453,0,1.33775

02,50,15773,5,2.194281

01,20,53424,5,2.311015

02,60,13203,4,1.654422

09,70,17639,4,1.263542

06,10,95297,5,7.805571

08,60,16605,4,1.909626

03,30,49608,5,10.325266

09,60,21225,4,3.373498

01,40,34958,5,4.721793

10,70,11088,4,1.64605

07,100,1757,0,1.450337

08,80,10202,2,1.763465

06,60,32304,3,1.635077

04,60,29570,3,1.654307

02,40,18581,5,3.451917

01,100,2453,0,1.765534

10,20,27742,5,3.895475

